car,label
0_0165,0
0_0166,0
0_0167,0
0_0168,0
0_0169,0
0_0170,0
0_0171,0
0_0172,0
0_0173,0
0_0174,0
0_0175,0
0_0176,0
0_0177,0
0_0178,0
0_0179,0
0_0180,0
0_0181,0
0_0182,0
0_0183,0
0_0184,0
0_0185,0
0_0186,0
0_0187,0
0_0188,0
0_0189,0
0_0190,0
0_0191,0
0_0192,0
0_0193,0
0_0194,0
0_0195,0
0_0196,0
0_0197,0
0_0198,0
0_0199,0
0_0200,0
0_0201,0
0_0202,0
0_0203,0
0_0204,0
0_0205,0
0_0206,0
0_0207,0
0_0208,0
0_0209,0
0_0210,0
0_0211,0
0_0212,0
0_0213,0
0_0214,0
0_0215,0
0_0216,0
0_0217,0
0_0218,0
0_0219,0
0_0220,0
0_0221,0
0_0222,0
0_0223,0
0_0224,0
0_0225,0
0_0226,0
0_0227,0
0_0228,0
0_0229,0
0_0230,0
0_0231,0
0_0232,0
0_0233,0
0_0234,0
0_0235,0
0_0236,0
0_0237,0
0_0238,0
0_0239,0
0_0240,0
0_0241,0
0_0242,0
0_0243,0
0_0244,0
0_0245,0
0_0246,0
0_0247,0
0_0248,0
0_0249,0
0_0250,0
0_0251,0
0_0252,0
0_0253,0
0_0254,0
0_0255,0
0_0256,0
0_0257,0
0_0258,0
0_0259,0
0_0260,0
0_0261,0
0_0262,0
0_0263,0
0_0264,0
0_0265,0
0_0266,0
0_0267,0
0_0268,0
0_0269,0
0_0270,0
0_0271,0
0_0272,0
0_0273,0
0_0274,0
0_0275,0
0_0276,0
0_0277,0
0_0278,0
0_0279,0
0_0280,0
0_0281,0
0_0282,0
0_0283,0
0_0284,0
0_0285,0
0_0286,0
0_0287,0
0_0288,0
0_0289,0
0_0290,0
0_0291,0
0_0292,0
0_0293,0
0_0294,0
0_0295,0
0_0296,0
0_0297,0
0_0298,0
0_0299,0
0_0300,0
0_0301,0
0_0302,0
0_0303,0
0_0304,0
0_0305,0
0_0306,0
0_0307,0
0_0308,0
0_0309,0
0_0310,0
0_0311,0
0_0312,0
0_0313,0
0_0314,0
0_0315,0
0_0316,0
0_0317,0
0_0318,0
0_0319,0
0_0320,0
0_0321,0
0_0322,0
0_0323,0
0_0324,0
0_0325,0
0_0326,0
0_0327,0
0_0328,0
0_0329,0
0_0330,0
0_0331,0
0_0332,0
0_0333,0
0_0334,0
0_0335,0
0_0336,0
0_0337,0
0_0338,0
0_0339,0
0_0340,0
0_0341,0
0_0342,0
0_0343,0
0_0344,0
0_0345,0
0_0346,0
0_0347,0
0_0348,0
0_0349,0
0_0350,0
0_0351,0
0_0352,0
0_0353,0
0_0354,0
0_0355,0
0_0356,0
0_0357,0
0_0358,0
0_0359,0
0_0360,0
0_0361,0
0_0362,0
0_0363,0
0_0364,0
0_0365,0
0_0366,0
0_0367,0
0_0368,0
0_0369,0
0_0370,0
0_0371,0
0_0372,0
0_0373,0
0_0374,0
0_0375,0
0_0376,0
0_0377,0
0_0378,0
0_0379,0
0_0380,0
0_0381,0
0_0382,0
0_0383,0
0_0384,0
0_0385,0
0_0386,0
0_0387,0
0_0388,0
0_0389,0
0_0390,0
0_0391,0
0_0392,0
0_0393,0
0_0394,0
0_0395,0
0_0396,0
0_0397,0
0_0398,0
0_0399,0
0_0400,0
0_0401,0
0_0402,0
0_0403,0
0_0404,0
0_0405,0
0_0406,0
0_0407,0
0_0408,0
0_0409,0
0_0410,0
0_0411,0
0_0412,0
0_0413,0
0_0414,0
0_0415,0
0_0416,0
0_0417,0
0_0418,0
0_0419,0
0_0420,0
0_0421,0
0_0422,0
0_0423,0
0_0424,0
0_0425,0
0_0426,0
0_0427,0
0_0428,0
0_0429,0
0_0430,0
0_0431,0
0_0432,0
0_0433,0
0_0434,0
0_0435,0
0_0436,0
0_0437,0
0_0438,0
0_0439,0
0_0440,0
0_0441,0
0_0442,0
0_0443,0
0_0444,0
0_0445,0
0_0446,0
0_0447,0
0_0448,0
0_0449,0
0_0450,0
0_0451,0
0_0452,0
0_0453,0
0_0454,0
0_0455,0
0_0456,0
0_0457,0
0_0458,0
0_0459,0
0_0460,0
0_0461,0
0_0462,0
0_0463,0
0_0464,0
0_0465,0
0_0466,0
0_0467,0
0_0468,0
0_0469,0
0_0470,0
0_0471,0
0_0472,0
0_0473,0
0_0474,0
0_0475,0
0_0476,0
0_0477,0
0_0478,0
0_0479,0
0_0480,0
0_0481,0
0_0482,0
0_0483,0
0_0484,0
0_0485,0
0_0486,0
0_0487,0
0_0488,0
0_0489,0
0_0490,0
0_0491,0
0_0492,0
0_0493,0
0_0494,0
0_0495,0
0_0496,0
0_0497,0
0_0498,0
0_0499,0
0_0500,0
0_0501,0
0_0502,0
0_0503,0
0_0504,0
0_0505,0
0_0506,0
0_0507,0
0_0508,0
0_0509,0
0_0510,0
0_0511,0
0_0512,0
0_0513,0
0_0514,0
0_0515,0
0_0516,0
0_0517,0
0_0518,0
0_0519,0
0_0520,0
0_0521,0
0_0522,0
0_0523,0
0_0524,0
0_0525,0
0_0526,0
0_0527,0
0_0528,0
0_0529,0
0_0530,0
0_0531,0
0_0532,0
0_0533,0
0_0534,0
0_0535,0
0_0536,0
0_0537,0
0_0538,0
0_0539,0
0_0540,0
0_0541,0
0_0542,0
0_0543,0
0_0544,0
0_0545,0
0_0546,0
0_0547,0
0_0548,0
0_0549,0
0_0550,0
0_0551,0
0_0552,0
0_0553,0
0_0554,0
0_0555,0
0_0556,0
0_0557,0
0_0558,0
0_0559,0
0_0560,0
0_0561,0
0_0562,0
0_0563,0
0_0564,0
0_0565,0
0_0566,0
0_0567,0
0_0568,0
0_0569,0
0_0570,0
0_0571,0
0_0572,0
0_0573,0
0_0574,0
0_0575,0
0_0576,0
0_0577,0
0_0578,0
0_0579,0
0_0580,0
0_0581,0
0_0582,0
0_0583,0
0_0584,0
0_0585,0
0_0586,0
0_0587,0
0_0588,0
0_0589,0
0_0590,0
0_0591,0
0_0592,0
0_0593,0
0_0594,0
0_0595,0
0_0596,0
0_0597,0
0_0598,0
0_0599,0
0_0600,0
0_0601,0
0_0602,0
0_0603,0
0_0604,0
0_0605,0
0_0606,0
0_0607,0
0_0608,0
0_0609,0
0_0610,0
0_0611,0
0_0612,0
0_0613,0
0_0614,0
0_0615,0
0_0616,0
0_0617,0
0_0618,0
0_0619,0
0_0620,0
0_0621,0
0_0622,0
0_0623,0
0_0624,0
0_0625,0
0_0626,0
0_0627,0
0_0628,0
0_0629,0
0_0630,0
0_0631,0
0_0632,0
0_0633,0
0_0634,0
0_0635,0
0_0636,0
0_0637,0
0_0638,0
0_0639,0
0_0640,0
0_0641,0
0_0642,0
0_0643,0
0_0644,0
0_0645,0
0_0646,0
0_0647,0
0_0648,0
0_0649,0
0_0650,0
0_0651,0
0_0652,0
0_0653,0
0_0654,0
0_0655,0
0_0656,0
0_0657,0
0_0658,0
0_0659,0
0_0660,0
0_0661,0
0_0662,0
0_0663,0
0_0664,0
0_0665,0
0_0666,0
0_0667,0
0_0668,0
0_0669,0
0_0670,0
0_0671,0
0_0672,0
0_0673,0
0_0674,0
0_0675,0
0_0676,0
0_0677,0
0_0678,0
0_0679,0
0_0680,0
0_0681,0
0_0682,0
0_0683,0
0_0684,0
0_0685,0
0_0686,0
0_0687,0
0_0688,0
0_0689,0
0_0690,0
0_0691,0
0_0692,0
0_0693,0
0_0694,0
0_0695,0
0_0696,0
0_0697,0
0_0698,0
0_0699,0
0_0700,0
0_0701,0
0_0702,0
0_0703,0
0_0704,0
0_0705,0
0_0706,0
0_0707,0
0_0708,0
0_0709,0
0_0710,0
0_0711,0
0_0712,0
0_0713,0
0_0714,0
0_0715,0
0_0716,0
0_0717,0
0_0718,0
0_0719,0
0_0720,0
0_0721,0
0_0722,0
0_0723,0
0_0724,0
0_0725,0
0_0726,0
0_0727,0
0_0728,0
0_0729,0
0_0730,0
0_0731,0
0_0732,0
0_0733,0
0_0734,0
0_0735,0
0_0736,0
0_0737,0
0_0738,0
0_0739,0
0_0740,0
0_0741,0
0_0742,0
0_0743,0
0_0744,0
0_0745,0
0_0746,0
0_0747,0
0_0748,0
0_0749,0
0_0750,0
0_0751,0
0_0752,0
0_0753,0
0_0754,0
0_0755,0
0_0756,0
0_0757,0
0_0758,0
0_0759,0
0_0760,0
0_0761,0
0_0762,0
0_0763,0
0_0764,0
0_0765,0
0_0766,0
0_0767,0
0_0768,0
0_0769,0
0_0770,0
0_0771,0
0_0772,0
0_0773,0
0_0774,0
0_0775,0
0_0776,0
0_0777,0
0_0778,0
0_0779,0
0_0780,0
0_0781,0
0_0782,0
0_0783,0
0_0784,0
0_0785,0
0_0786,0
0_0787,0
0_0788,0
0_0789,0
0_0790,0
0_0791,0
0_0792,0
0_0793,0
0_0794,0
0_0795,0
0_0796,0
0_0797,0
0_0798,0
0_0799,0
0_0800,0
0_0801,0
0_0802,0
0_0803,0
0_0804,0
0_0805,0
0_0806,0
0_0807,0
0_0808,0
0_0809,0
0_0810,0
0_0811,0
0_0812,0
0_0813,0
0_0814,0
0_0815,0
0_0816,0
0_0817,0
0_0818,0
0_0819,0
0_0820,0
0_0821,0
0_0822,0
0_0823,0
0_0824,0
0_0825,0
0_0826,0
0_0827,0
0_0828,0
0_0829,0
0_0830,0
0_0831,0
0_0832,0
0_0833,0
0_0834,0
0_0835,0
0_0836,0
0_0837,0
0_0838,0
0_0839,0
0_0840,0
0_0841,0
0_0842,0
0_0843,0
0_0844,0
0_0845,0
0_0846,0
0_0847,0
0_0848,0
0_0849,0
0_0850,0
0_0851,0
0_0852,0
0_0853,0
0_0854,0
0_0855,0
0_0856,0
0_0857,0
0_0858,0
0_0859,0
0_0860,0
0_0861,0
0_0862,0
0_0863,0
0_0864,0
0_0865,0
0_0866,0
0_0867,0
0_0868,0
0_0869,0
0_0870,0
0_0871,0
0_0872,0
0_0873,0
0_0874,0
0_0875,0
0_0876,0
0_0877,0
0_0878,0
0_0879,0
0_0880,0
0_0881,0
0_0882,0
0_0883,0
0_0884,0
0_0885,0
0_0886,0
0_0887,0
0_0888,0
0_0889,0
0_0890,0
0_0891,0
0_0892,0
0_0893,0
0_0894,0
0_0895,0
0_0896,0
0_0897,0
0_0898,0
0_0899,0
0_0900,0
0_0901,0
0_0902,0
0_0903,0
0_0904,0
0_0905,0
0_0906,0
0_0907,0
0_0908,0
0_0909,0
0_0910,0
0_0911,0
0_0912,0
0_0913,0
0_0914,0
0_0915,0
0_0916,0
0_0917,0
0_0918,0
0_0919,0
0_0920,0
0_0921,0
0_0922,0
0_0923,0
0_0924,0
0_0925,0
0_0926,0
0_0927,0
0_0928,0
0_0929,0
0_0930,0
0_0931,0
0_0932,0
0_0933,0
0_0934,0
0_0935,0
0_0936,0
0_0937,0
0_0938,0
0_0939,0
0_0940,0
0_0941,0
0_0942,0
0_0943,0
0_0944,0
0_0945,0
0_0946,0
0_0947,0
0_0948,0
0_0949,0
0_0950,0
0_0951,0
0_0952,0
0_0953,0
0_0954,0
0_0955,0
0_0956,0
0_0957,0
0_0958,0
0_0959,0
0_0960,0
0_0961,0
0_0962,0
0_0963,0
0_0964,0
0_0965,0
0_0966,0
0_0967,0
0_0968,0
0_0969,0
0_0970,0
0_0971,0
0_0972,0
0_0973,0
0_0974,0
0_0975,0
0_0976,0
0_0977,0
0_0978,0
0_0979,0
0_0980,0
0_0981,0
0_0982,0
0_0983,0
0_0984,0
0_0985,0
0_0986,0
0_0987,0
0_0988,0
0_0989,0
0_0990,0
0_0991,0
0_0992,0
0_0993,0
0_0994,0
0_0995,0
0_0996,0
0_0997,0
0_0998,0
0_0999,0
0_1000,0
0_1001,0
0_1002,0
0_1003,0
0_1004,0
0_1005,0
0_1006,0
0_1007,0
0_1008,0
0_1009,0
0_1010,0
0_1011,0
0_1012,0
0_1013,0
0_1014,0
0_1015,0
0_1016,0
0_1017,0
0_1018,0
0_1019,0
0_1020,0
0_1021,0
0_1022,0
0_1023,0
0_1024,0
0_1025,0
0_1026,0
0_1027,0
0_1028,0
0_1029,0
0_1030,0
0_1031,0
0_1032,0
0_1033,0
0_1034,0
0_1035,0
0_1036,0
0_1037,0
0_1038,0
0_1039,0
0_1040,0
0_1041,0
0_1042,0
0_1043,0
0_1044,0
0_1045,0
0_1046,0
0_1047,0
0_1048,0
0_1049,0
0_1050,0
0_1051,0
0_1052,0
0_1053,0
0_1054,0
0_1055,0
0_1056,0
0_1057,0
0_1058,0
0_1059,0
0_1060,0
0_1061,0
0_1062,0
0_1063,0
0_1064,0
0_1065,0
0_1066,0
0_1067,0
0_1068,0
0_1069,0
0_1070,0
0_1071,0
0_1072,0
0_1073,0
0_1074,0
0_1075,0
0_1076,0
0_1077,0
0_1078,0
0_1079,0
0_1080,0
0_1081,0
0_1082,0
0_1083,0
0_1084,0
0_1085,0
0_1086,0
0_1087,0
0_1088,0
0_1089,0
0_1090,0
0_1091,0
0_1092,0
0_1093,0
0_1094,0
0_1095,0
0_1096,0
0_1097,0
0_1098,0
0_1099,0
0_1100,0
0_1101,0
0_1102,0
0_1103,0
0_1104,0
0_1105,0
0_1106,0
0_1107,0
0_1108,0
0_1109,0
0_1110,0
0_1111,0
0_1112,0
0_1113,0
0_1114,0
0_1115,0
0_1116,0
0_1117,0
0_1118,0
0_1119,0
0_1120,0
0_1121,0
0_1122,0
0_1123,0
0_1124,0
0_1125,0
0_1126,0
0_1127,0
0_1128,0
0_1129,0
0_1130,0
0_1131,0
0_1132,0
0_1133,0
0_1134,0
0_1135,0
0_1136,0
0_1137,0
0_1138,0
0_1139,0
0_1140,0
0_1141,0
0_1142,0
0_1143,0
0_1144,0
0_1145,0
0_1146,0
0_1147,0
0_1148,0
0_1149,0
0_1150,0
0_1151,0
0_1152,0
0_1153,0
0_1154,0
0_1155,0
0_1156,0
0_1157,0
0_1158,0
0_1159,0
0_1160,0
0_1161,0
0_1162,0
0_1163,0
0_1164,0
0_1165,0
0_1166,0
0_1167,0
0_1168,0
0_1169,0
0_1170,0
0_1171,0
0_1172,0
0_1173,0
0_1174,0
0_1175,0
0_1176,0
0_1177,0
0_1178,0
0_1179,0
0_1180,0
0_1181,0
0_1182,0
0_1183,0
0_1184,0
0_1185,0
0_1186,0
0_1187,0
0_1188,0
0_1189,0
0_1190,0
0_1191,0
0_1192,0
0_1193,0
0_1194,0
0_1195,0
0_1196,0
0_1197,0
0_1198,0
0_1199,0
0_1200,0
0_1201,0
0_1202,0
0_1203,0
0_1204,0
0_1205,0
0_1206,0
0_1207,0
0_1208,0
0_1209,0
0_1210,0
0_1211,0
0_1212,0
0_1213,0
0_1214,0
0_1215,0
0_1216,0
0_1217,0
0_1218,0
0_1219,0
0_1220,0
0_1221,0
0_1222,0
0_1223,0
0_1224,0
0_1225,0
0_1226,0
0_1227,0
0_1228,0
0_1229,0
0_1230,0
0_1231,0
0_1232,0
0_1233,0
0_1234,0
0_1235,0
0_1236,0
0_1237,0
0_1238,0
0_1239,0
0_1240,0
0_1241,0
0_1242,0
0_1243,0
0_1244,0
0_1245,0
0_1246,0
0_1247,0
0_1248,0
0_1249,0
0_1250,0
0_1251,0
0_1252,0
0_1253,0
0_1254,0
0_1255,0
0_1256,0
0_1257,0
0_1258,0
0_1259,0
0_1260,0
0_1261,0
0_1262,0
0_1263,0
0_1264,0
0_1265,0
0_1266,0
0_1267,0
0_1268,0
0_1269,0
0_1270,0
0_1271,0
0_1272,0
0_1273,0
0_1274,0
0_1275,0
0_1276,0
0_1277,0
0_1278,0
0_1279,0
0_1280,0
0_1281,0
0_1282,0
0_1283,0
0_1284,0
0_1285,0
0_1286,0
0_1287,0
0_1288,0
0_1289,0
0_1290,0
0_1291,0
0_1292,0
0_1293,0
0_1294,0
0_1295,0
0_1296,0
0_1297,0
0_1298,0
0_1299,0
0_1300,0
0_1301,0
0_1302,0
0_1303,0
0_1304,0
0_1305,0
0_1306,0
0_1307,0
0_1308,0
0_1309,0
0_1310,0
0_1311,0
0_1312,0
0_1313,0
0_1314,0
0_1315,0
0_1316,0
0_1317,0
0_1318,0
0_1319,0
0_1320,0
0_1321,0
0_1322,0
0_1323,0
0_1324,0
0_1325,0
0_1326,0
0_1327,0
0_1328,0
0_1329,0
0_1330,0
0_1331,0
0_1332,0
0_1333,0
0_1334,0
0_1335,0
0_1336,0
0_1337,0
0_1338,0
0_1339,0
0_1340,0
0_1341,0
0_1342,0
0_1343,0
0_1344,0
0_1345,0
0_1346,0
0_1347,0
0_1348,0
0_1349,0
0_1350,0
0_1351,0
0_1352,0
0_1353,0
0_1354,0
0_1355,0
0_1356,0
0_1357,0
0_1358,0
0_1359,0
0_1360,0
0_1361,0
0_1362,0
0_1363,0
0_1364,0
0_1365,0
0_1366,0
0_1367,0
0_1368,0
0_1369,0
0_1370,0
0_1371,0
0_1372,0
0_1373,0
0_1374,0
0_1375,0
0_1376,0
0_1377,0
0_1378,0
0_1379,0
0_1380,0
0_1381,0
0_1382,0
0_1383,0
0_1384,0
0_1385,0
0_1386,0
0_1387,0
0_1388,0
0_1389,0
0_1390,0
0_1391,0
0_1392,0
0_1393,0
0_1394,0
0_1395,0
0_1396,0
0_1397,0
0_1398,0
0_1399,0
0_1400,0
0_1401,0
0_1402,0
0_1403,0
0_1404,0
0_1405,0
0_1406,0
0_1407,0
0_1408,0
0_1409,0
0_1410,0
0_1411,0
0_1412,0
0_1413,0
0_1414,0
0_1415,0
0_1416,0
0_1417,0
0_1418,0
0_1419,0
0_1420,0
0_1421,0
0_1422,0
0_1423,0
0_1424,0
0_1425,0
0_1426,0
0_1427,0
0_1428,0
0_1429,0
0_1430,0
0_1431,0
0_1432,0
0_1433,0
0_1434,0
0_1435,0
0_1436,0
0_1437,0
0_1438,0
0_1439,0
0_1440,0
0_1441,0
0_1442,0
0_1443,0
0_1444,0
0_1445,0
0_1446,0
0_1447,0
0_1448,0
0_1449,0
0_1450,0
0_1451,0
0_1452,0
0_1453,0
0_1454,0
0_1455,0
0_1456,0
0_1457,0
0_1458,0
0_1459,0
0_1460,0
0_1461,0
0_1462,0
0_1463,0
0_1464,0
0_1465,0
0_1466,0
0_1467,0
0_1468,0
0_1469,0
0_1470,0
0_1471,0
0_1472,0
0_1473,0
0_1474,0
0_1475,0
0_1476,0
0_1477,0
0_1478,0
0_1479,0
0_1480,0
0_1481,0
0_1482,0
0_1483,0
0_1484,0
0_1485,0
0_1486,0
0_1487,0
0_1488,0
0_1489,0
0_1490,0
0_1491,0
0_1492,0
0_1493,0
0_1494,0
0_1495,0
0_1496,0
0_1497,0
0_1498,0
0_1499,0
0_1500,0
0_1501,0
0_1502,0
0_1503,0
0_1504,0
0_1505,0
0_1506,0
0_1507,0
0_1508,0
0_1509,0
0_1510,0
0_1511,0
0_1512,0
0_1513,0
0_1514,0
0_1515,0
0_1516,0
0_1517,0
0_1518,0
0_1519,0
0_1520,0
0_1521,0
0_1522,0
0_1523,0
0_1524,0
0_1525,0
0_1526,0
0_1527,0
0_1528,0
0_1529,0
0_1530,0
0_1531,0
0_1532,0
0_1533,0
0_1534,0
0_1535,0
0_1536,0
0_1537,0
0_1538,0
0_1539,0
0_1540,0
0_1541,0
0_1542,0
0_1543,0
0_1544,0
0_1545,0
0_1546,0
0_1547,0
0_1548,0
0_1549,0
0_1550,0
0_1551,0
0_1552,0
0_1553,0
0_1554,0
0_1555,0
0_1556,0
0_1557,0
0_1558,0
0_1559,0
0_1560,0
0_1561,0
0_1562,0
0_1563,0
0_1564,0
0_1565,0
0_1566,0
0_1567,0
0_1568,0
0_1569,0
0_1570,0
0_1571,0
0_1572,0
0_1573,0
0_1574,0
0_1575,0
0_1576,0
0_1577,0
0_1578,0
0_1579,0
0_1580,0
0_1581,0
0_1582,0
0_1583,0
0_1584,0
0_1585,0
0_1586,0
0_1587,0
0_1588,0
0_1589,0
0_1590,0
0_1591,0
0_1592,0
0_1593,0
0_1594,0
0_1595,0
0_1596,0
0_1597,0
0_1598,0
0_1599,0
0_1600,0
0_1601,0
0_1602,0
0_1603,0
0_1604,0
0_1605,0
0_1606,0
0_1607,0
0_1608,0
0_1609,0
0_1610,0
0_1611,0
0_1612,0
0_1613,0
0_1614,0
0_1615,0
0_1616,0
0_1617,0
0_1618,0
0_1619,0
0_1620,0
0_1621,0
0_1622,0
0_1623,0
0_1624,0
0_1625,0
0_1626,0
0_1627,0
0_1628,0
0_1629,0
0_1630,0
0_1631,0
0_1632,0
0_1633,0
0_1634,0
0_1635,0
0_1636,0
0_1637,0
0_1638,0
0_1639,0
0_1640,0
0_1641,0
0_1642,0
0_1643,0
0_1644,0
0_1645,0
0_1646,0
0_1647,0
0_1648,0
0_1649,0
0_1650,0
0_1651,0
0_1652,0
0_1653,0
0_1654,0
0_1655,0
0_1656,0
0_1657,0
0_1658,0
0_1659,0
0_1660,0
0_1661,0
0_1662,0
0_1663,0
0_1664,0
0_1665,0
0_1666,0
0_1667,0
0_1668,0
0_1669,0
0_1670,0
0_1671,0
0_1672,0
0_1673,0
0_1674,0
0_1675,0
0_1676,0
0_1677,0
0_1678,0
0_1679,0
0_1680,0
0_1681,0
0_1682,0
0_1683,0
0_1684,0
0_1685,0
0_1686,0
0_1687,0
0_1688,0
0_1689,0
0_1690,0
0_1691,0
0_1692,0
0_1693,0
0_1694,0
0_1695,0
0_1696,0
0_1697,0
0_1698,0
0_1699,0
0_1700,0
0_1701,0
0_1702,0
0_1703,0
0_1704,0
0_1705,0
0_1706,0
0_1707,0
0_1708,0
0_1709,0
0_1710,0
0_1711,0
0_1712,0
0_1713,0
0_1714,0
0_1715,0
0_1716,0
0_1717,0
0_1718,0
0_1719,0
0_1720,0
0_1721,0
0_1722,0
0_1723,0
0_1724,0
0_1725,0
0_1726,0
0_1727,0
0_1728,0
0_1729,0
0_1730,0
0_1731,0
0_1732,0
0_1733,0
0_1734,0
0_1735,0
0_1736,0
0_1737,0
0_1738,0
0_1739,0
0_1740,0
0_1741,0
0_1742,0
0_1743,0
0_1744,0
0_1745,0
0_1746,0
0_1747,0
0_1748,0
0_1749,0
0_1750,0
0_1751,0
0_1752,0
0_1753,0
0_1754,0
0_1755,0
0_1756,0
0_1757,0
0_1758,0
0_1759,0
0_1760,0
0_1761,0
0_1762,0
0_1763,0
0_1764,0
0_1765,0
0_1766,0
0_1767,0
0_1768,0
0_1769,0
0_1770,0
0_1771,0
0_1772,0
0_1773,0
0_1774,0
0_1775,0
0_1776,0
0_1777,0
0_1778,0
0_1779,0
0_1780,0
0_1781,0
0_1782,0
0_1783,0
0_1784,0
0_1785,0
0_1786,0
0_1787,0
0_1788,0
0_1789,0
0_1790,0
0_1791,0
0_1792,0
0_1793,0
0_1794,0
0_1795,0
0_1796,0
0_1797,0
0_1798,0
0_1799,0
0_1800,0
0_1801,0
0_1802,0
0_1803,0
0_1804,0
0_1805,0
0_1806,0
0_1807,0
0_1808,0
0_1809,0
0_1810,0
0_1811,0
0_1812,0
0_1813,0
0_1814,0
0_1815,0
0_1816,0
0_1817,0
0_1818,0
0_1819,0
0_1820,0
0_1821,0
0_1822,0
0_1823,0
0_1824,0
0_1825,0
0_1826,0
0_1827,0
0_1828,0
0_1829,0
0_1830,0
0_1831,0
0_1832,0
0_1833,0
0_1834,0
0_1835,0
0_1836,0
0_1837,0
0_1838,0
0_1839,0
0_1840,0
0_1841,0
0_1842,0
0_1843,0
0_1844,0
0_1845,0
0_1846,0
0_1847,0
0_1848,0
0_1849,0
0_1850,0
0_1851,0
0_1852,0
0_1853,0
0_1854,0
0_1855,0
0_1856,0
0_1857,0
0_1858,0
0_1859,0
0_1860,0
0_1861,0
0_1862,0
0_1863,0
0_1864,0
0_1865,0
0_1866,0
0_1867,0
0_1868,0
0_1869,0
0_1870,0
0_1871,0
0_1872,0
0_1873,0
0_1874,0
0_1875,0
0_1876,0
0_1877,0
0_1878,0
0_1879,0
0_1880,0
0_1881,0
0_1882,0
0_1883,0
0_1884,0
0_1885,0
0_1886,0
0_1887,0
0_1888,0
0_1889,0
0_1890,0
0_1891,0
0_1892,0
0_1893,0
0_1894,0
0_1895,0
0_1896,0
0_1897,0
0_1898,0
0_1899,0
0_1900,0
0_1901,0
0_1902,0
0_1903,0
0_1904,0
0_1905,0
0_1906,0
0_1907,0
0_1908,0
0_1909,0
0_1910,0
0_1911,0
0_1912,0
0_1913,0
0_1914,0
0_1915,0
0_1916,0
0_1917,0
0_1918,0
0_1919,0
0_1920,0
0_1921,0
0_1922,0
0_1923,0
0_1924,0
0_1925,0
0_1926,0
0_1927,0
0_1928,0
0_1929,0
0_1930,0
0_1931,0
0_1932,0
0_1933,0
0_1934,0
0_1935,0
0_1936,0
0_1937,0
0_1938,0
0_1939,0
0_1940,0
0_1941,0
0_1942,0
0_1943,0
0_1944,0
0_1945,0
0_1946,0
0_1947,0
0_1948,0
0_1949,0
0_1950,0
0_1951,0
0_1952,0
0_1953,0
0_1954,0
0_1955,0
0_1956,0
0_1957,0
0_1958,0
0_1959,0
0_1960,0
0_1961,0
0_1962,0
0_1963,0
0_1964,0
0_1965,0
0_1966,0
0_1967,0
0_1968,0
0_1969,0
0_1970,0
0_1971,0
0_1972,0
0_1973,0
0_1974,0
0_1975,0
0_1976,0
0_1977,0
0_1978,0
0_1979,0
0_1980,0
0_1981,0
0_1982,0
0_1983,0
0_1984,0
0_1985,0
0_1986,0
0_1987,0
0_1988,0
0_1989,0
0_1990,0
0_1991,0
0_1992,0
0_1993,0
0_1994,0
0_1995,0
0_1996,0
0_1997,0
0_1998,0
